[30/12/2025 21:06:04] ERROR: Error: Error during registration
[30/12/2025 21:09:30] ERROR: Error: Error updating submission
[30/12/2025 21:14:52] ERROR: Error: Error updating submission
[30/12/2025 21:16:11] ERROR: Error: Error updating submission
[30/12/2025 21:17:16] ERROR: Error: Error updating submission
[30/12/2025 21:18:51] ERROR: Error: Error updating submission
[30/12/2025 21:25:34] ERROR: Error: Error creating submission
[30/12/2025 21:26:50] ERROR: Error: Error creating submission
[30/12/2025 21:28:39] ERROR: Error: Error creating submission
[30/12/2025 21:30:11] ERROR: Error: Error creating submission
[30/12/2025 21:34:30] ERROR: Error: Error updating submission
[30/12/2025 21:35:22] ERROR: Error: Error updating submission
